filename,width,height
road_2lane_90left.png,525,525
car_1_red.png,108,240
car_2_blue.png,102,208
parking_space_parallel.png,141,624
road_2lane_straight.png,350,350
roadsign_speed_60.png,80,80
2_crossroad_2.png,1400,1400
road_2lane_45left.png,401,371
man.png,39,72
boundary.png,51,86
car_1_white.png,108,240
roadsign_priority_stop.png,80,80
road_2lane_45right.png,401,371
parking_90.png,295,469
crosswalk.png,338,199
road_2lane_6right.png,367,367
car_2_white.png,102,208
parking_bollard.png,21,61
car_1_blue.png,108,240
road_2lane_rotary.png,1400,1400
road_2lane_6left.png,367,367
road_2lane_90right.png,525,525
bicycle.png,88,153
woman.png,47,74
roadsign_speed_50.png,80,80
2_crossroad_1.png,1400,1400
car_2_red.png,102,208
roadsign_parking_right.png,80,80
road_2lane_tjunctionright.png,875,1400
roadsign_speed_40.png,80,80
car_3_black.png,120,289
garage.png,336,294
circle.png,40,40
tree.png,144,162
road_2lane_tjunctionleft.png,875,1400
